
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.01
Epsilon decay episodes: 2000.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep 1130/3000 | Avg_Score:      0 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 467.6352 | ε: 0.441
Ep 1140/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 514.8381 | ε: 0.436
Ep 1150/3000 | Avg_Score:      0 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 527.4364 | ε: 0.431
Ep 1160/3000 | Avg_Score:      1 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 487.0992 | ε: 0.426
Ep 1170/3000 | Avg_Score:      0 | Avg_Pieces: 25 | Avg_Lines: 0 | Avg_Loss: 543.4562 | ε: 0.421
Ep 1180/3000 | Avg_Score:      1 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 531.8850 | ε: 0.416
New best score: 44 (< 1000, chưa lưu file)
Ep 1190/3000 | Avg_Score:      4 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 564.4724 | ε: 0.411
Ep 1200/3000 | Avg_Score:      3 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 558.7207 | ε: 0.406
Ep 1210/3000 | Avg_Score:      2 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 668.5134 | ε: 0.402
Ep 1220/3000 | Avg_Score:      5 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 738.9888 | ε: 0.397
Ep 1230/3000 | Avg_Score:      0 | Avg_Pieces: 27 | Avg_Lines: 0 | Avg_Loss: 825.8755 | ε: 0.392
Ep 1240/3000 | Avg_Score:      5 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 826.3308 | ε: 0.387
Ep 1250/3000 | Avg_Score:      0 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 746.9710 | ε: 0.382
Ep 1260/3000 | Avg_Score:      0 | Avg_Pieces: 26 | Avg_Lines: 0 | Avg_Loss: 728.1146 | ε: 0.377
Ep 1270/3000 | Avg_Score:      2 | Avg_Pieces: 28 | Avg_Lines: 0 | Avg_Loss: 805.6625 | ε: 0.372
Traceback (most recent call last):
  File "C:\Users\nhanl\OneDrive\Desktop\School\REL301m\tetris_from_scratch\code\train.py", line 346, in <module>
    agent.train()
  File "C:\Users\nhanl\OneDrive\Desktop\School\REL301m\tetris_from_scratch\code\train.py", line 202, in train
    score, pieces, lines, total_reward = self.play_episode()
                                         ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\nhanl\OneDrive\Desktop\School\REL301m\tetris_from_scratch\code\train.py", line 158, in play_episode
    action = self.select_action()
             ^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\nhanl\OneDrive\Desktop\School\REL301m\tetris_from_scratch\code\train.py", line 90, in select_action
    next_states = self.env.get_next_states()
                  ^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\nhanl\OneDrive\Desktop\School\REL301m\tetris_from_scratch\code\tetris.py", line 208, in get_next_states
    while not self._check_collision(piece, x, y):
              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "C:\Users\nhanl\OneDrive\Desktop\School\REL301m\tetris_from_scratch\code\tetris.py", line None, in _check_collision
KeyboardInterrupt
