
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.001
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep  570/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 331.2157 | ε: 0.807
Ep  580/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 335.0907 | ε: 0.804
Ep  590/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 324.6824 | ε: 0.800
Ep  600/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 318.5602 | ε: 0.797
Ep  610/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 411.1057 | ε: 0.793
Ep  620/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 384.1891 | ε: 0.790
Ep  630/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 352.2955 | ε: 0.787
Ep  640/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 343.8562 | ε: 0.783
Ep  650/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 350.0048 | ε: 0.780
Ep  660/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 341.9130 | ε: 0.776
Ep  670/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 328.3237 | ε: 0.773
Ep  680/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 325.3315 | ε: 0.770
Ep  690/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 352.7232 | ε: 0.766
Ep  700/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 334.4518 | ε: 0.763
Ep  710/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 381.8881 | ε: 0.759
Ep  720/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 342.3074 | ε: 0.756
Ep  730/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 358.2707 | ε: 0.753
Ep  740/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 303.3741 | ε: 0.749
Ep  750/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 319.4993 | ε: 0.746
Ep  760/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 278.3475 | ε: 0.742
Ep  770/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 310.7214 | ε: 0.739
Ep  780/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 316.5070 | ε: 0.736
Ep  790/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 291.0296 | ε: 0.732
Ep  800/3000 | Avg_Score:      1 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 343.9126 | ε: 0.729
Ep  810/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 328.1043 | ε: 0.726
Ep  820/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 285.9601 | ε: 0.722
Ep  830/3000 | Avg_Score:      0 | Avg_Pieces: 16 | Avg_Lines: 0 | Avg_Loss: 276.7285 | ε: 0.719
Ep  840/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 247.3744 | ε: 0.715
Ep  850/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 264.7759 | ε: 0.712
Ep  860/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 244.7329 | ε: 0.709
Ep  870/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 257.8913 | ε: 0.705
Ep  880/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 249.0429 | ε: 0.702
Ep  890/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 253.6283 | ε: 0.698
Ep  900/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 243.3655 | ε: 0.695
Ep  910/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 255.1097 | ε: 0.692
Ep  920/3000 | Avg_Score:      0 | Avg_Pieces: 17 | Avg_Lines: 0 | Avg_Loss: 240.5360 | ε: 0.688
Ep  930/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 228.1221 | ε: 0.685
Ep  940/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 233.7738 | ε: 0.681
Ep  950/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 225.2070 | ε: 0.678
Ep  960/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 204.7570 | ε: 0.675
Ep  970/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 206.6246 | ε: 0.671
Ep  980/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 213.5156 | ε: 0.668
Ep  990/3000 | Avg_Score:      1 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 227.7915 | ε: 0.664
Ep 1000/3000 | Avg_Score:      0 | Avg_Pieces: 19 | Avg_Lines: 0 | Avg_Loss: 226.3921 | ε: 0.661
Ep 1010/3000 | Avg_Score:      0 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 230.9845 | ε: 0.658
Ep 1020/3000 | Avg_Score:      0 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 224.2405 | ε: 0.654
Ep 1030/3000 | Avg_Score:      2 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 211.5770 | ε: 0.651
Ep 1040/3000 | Avg_Score:      1 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 203.0326 | ε: 0.647
Ep 1050/3000 | Avg_Score:      0 | Avg_Pieces: 23 | Avg_Lines: 0 | Avg_Loss: 199.8867 | ε: 0.644
Ep 1060/3000 | Avg_Score:      1 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 189.6915 | ε: 0.641
Ep 1070/3000 | Avg_Score:      0 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 201.0364 | ε: 0.637
Ep 1080/3000 | Avg_Score:      2 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 196.9286 | ε: 0.634
Ep 1090/3000 | Avg_Score:      1 | Avg_Pieces: 22 | Avg_Lines: 0 | Avg_Loss: 221.9308 | ε: 0.631
Ep 1100/3000 | Avg_Score:      0 | Avg_Pieces: 18 | Avg_Lines: 0 | Avg_Loss: 202.5425 | ε: 0.627
Ep 1110/3000 | Avg_Score:      1 | Avg_Pieces: 21 | Avg_Lines: 0 | Avg_Loss: 223.6083 | ε: 0.624
Ep 1120/3000 | Avg_Score:      1 | Avg_Pieces: 20 | Avg_Lines: 0 | Avg_Loss: 216.9663 | ε: 0.620
Ep 1130/3000 | Avg_Score:      2 | Avg_Pieces: 24 | Avg_Lines: 0 | Avg_Loss: 208.4427 | ε: 0.617
