
======================================================================
 TRAINING DQN AGENT
======================================================================
Device: cpu
Episodes: 3000
Batch size: 512
Learning rate: 0.0005
Gamma: 0.99
Initial epsilon: 1.0
Final epsilon: 0.05
Epsilon decay episodes: 2800.0
Replay buffer size: 3000
Max episode pieces: 100000
======================================================================
Ep  860/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 610.0187 | ε: 0.709
Ep  870/3000 | Best_Score:      0 | Best_Pieces:  20 | Best_Lines:   0 | Avg_Loss: 635.7402 | ε: 0.705
Ep  880/3000 | Best_Score:     11 | Best_Pieces:  24 | Best_Lines:   1 | Avg_Loss: 633.5264 | ε: 0.702
Ep  890/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 599.7732 | ε: 0.698
Ep  900/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 617.8316 | ε: 0.695
Ep  910/3000 | Best_Score:      0 | Best_Pieces:  25 | Best_Lines:   0 | Avg_Loss: 771.4266 | ε: 0.692
Ep  920/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 698.5124 | ε: 0.688
Ep  930/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 712.6246 | ε: 0.685
Ep  940/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 649.4394 | ε: 0.681
Ep  950/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 649.4661 | ε: 0.678
Ep  960/3000 | Best_Score:      0 | Best_Pieces:  21 | Best_Lines:   0 | Avg_Loss: 688.9775 | ε: 0.675
Ep  970/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 659.3859 | ε: 0.671
Ep  980/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 660.8758 | ε: 0.668
Ep  990/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 678.5532 | ε: 0.664
Ep 1000/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 657.3066 | ε: 0.661
Ep 1010/3000 | Best_Score:     11 | Best_Pieces:  21 | Best_Lines:   1 | Avg_Loss: 765.5336 | ε: 0.658
Ep 1020/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 789.4808 | ε: 0.654
Ep 1030/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 740.6013 | ε: 0.651
Ep 1040/3000 | Best_Score:     11 | Best_Pieces:  21 | Best_Lines:   1 | Avg_Loss: 720.1198 | ε: 0.647
Ep 1050/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 669.7802 | ε: 0.644
Ep 1060/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 677.0446 | ε: 0.641
Ep 1070/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 686.6792 | ε: 0.637
Ep 1080/3000 | Best_Score:     11 | Best_Pieces:  26 | Best_Lines:   1 | Avg_Loss: 638.9817 | ε: 0.634
Ep 1090/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 643.9251 | ε: 0.631
Ep 1100/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 665.9765 | ε: 0.627
Ep 1110/3000 | Best_Score:      0 | Best_Pieces:  22 | Best_Lines:   0 | Avg_Loss: 770.4226 | ε: 0.624
Ep 1120/3000 | Best_Score:     11 | Best_Pieces:  20 | Best_Lines:   1 | Avg_Loss: 795.2552 | ε: 0.620
Ep 1130/3000 | Best_Score:      0 | Best_Pieces:  26 | Best_Lines:   0 | Avg_Loss: 761.1284 | ε: 0.617
Ep 1140/3000 | Best_Score:      0 | Best_Pieces:  24 | Best_Lines:   0 | Avg_Loss: 749.9635 | ε: 0.614
Ep 1150/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 725.3815 | ε: 0.610
Ep 1160/3000 | Best_Score:      0 | Best_Pieces:  23 | Best_Lines:   0 | Avg_Loss: 741.5353 | ε: 0.607
